date,close,change,pct,z_score,open,high,low,volume,fetch_time
8/20/2025,21172.86,-142.09,-0.67,0.00,21172.86,21172.86,21172.86,0,
8/21/2025,21100.31,-72.55,-0.34,0.00,21100.31,21100.31,21100.31,0,
8/22/2025,21496.54,396.23,1.88,0.00,21496.54,21496.54,21496.54,0,
8/25/2025,21449.29,-47.25,-0.22,0.00,21449.29,21449.29,21449.29,0,
8/26/2025,21544.27,94.98,0.44,0.00,21544.27,21544.27,21544.27,0,
8/27/2025,21590.14,45.87,0.21,0.00,21590.14,21590.14,21590.14,0,
8/28/2025,21705.16,115.02,0.53,0.00,21705.16,21705.16,21705.16,0,
8/29/2025,21455.55,-249.61,-1.15,0.00,21455.55,21455.55,21455.55,0,
9/2/2025,21279.63,-175.92,-0.82,0.00,21279.63,21279.63,21279.63,0,
9/3/2025,21497.73,218.10,1.02,0.00,21497.73,21497.73,21497.73,0,
9/4/2025,21707.69,209.96,0.98,0.00,21707.69,21707.69,21707.69,0,
9/5/2025,21700.39,-7.30,-0.03,0.00,21700.39,21700.39,21700.39,0,
9/8/2025,21798.70,98.31,0.45,0.00,21798.70,21798.70,21798.70,0,
9/9/2025,21879.49,80.79,0.37,0.00,21879.49,21879.49,21879.49,0,
9/10/2025,21886.06,6.57,0.03,0.00,21886.06,21886.06,21886.06,0,
9/11/2025,22043.07,157.01,0.72,0.00,22043.07,22043.07,22043.07,0,
9/12/2025,22141.10,98.03,0.44,0.00,22141.10,22141.10,22141.10,0,
9/15/2025,22348.75,207.65,0.94,0.00,22348.75,22348.75,22348.75,0,
9/16/2025,22333.96,-14.79,-0.07,0.00,22333.96,22333.96,22333.96,0,
9/17/2025,22261.33,-72.63,-0.33,0.00,22261.33,22261.33,22261.33,0,
9/18/2025,22470.72,209.39,0.94,0.00,22470.72,22470.72,22470.72,0,
9/19/2025,22631.48,160.76,0.72,0.00,22631.48,22631.48,22631.48,0,
9/22/2025,22788.98,157.50,0.70,0.00,22788.98,22788.98,22788.98,0,
9/23/2025,22573.47,-215.51,-0.95,0.00,22573.47,22573.47,22573.47,0,
9/24/2025,22497.86,-75.61,-0.33,0.00,22497.86,22497.86,22497.86,0,
9/25/2025,22384.70,-113.16,-0.50,0.00,22384.70,22384.70,22384.70,0,
9/26/2025,22484.07,99.37,0.44,0.00,22484.07,22484.07,22484.07,0,
9/29/2025,22591.15,107.08,0.48,0.00,22591.15,22591.15,22591.15,0,
9/30/2025,22660.01,68.86,0.30,0.00,22660.01,22660.01,22660.01,0,
10/1/2025,22755.16,95.15,0.42,0.00,22755.16,22755.16,22755.16,0,
10/2/2025,22844.05,88.89,0.39,0.00,22844.05,22844.05,22844.05,0,
10/3/2025,22780.51,-63.54,-0.28,0.00,22780.51,22780.51,22780.51,0,
10/6/2025,22941.67,161.16,0.71,0.00,22941.67,22941.67,22941.67,0,
10/7/2025,22788.36,-153.31,-0.67,0.00,22788.36,22788.36,22788.36,0,
10/8/2025,23043.38,255.02,1.12,0.00,23043.38,23043.38,23043.38,0,
10/9/2025,23024.63,-18.75,-0.08,0.00,23024.63,23024.63,23024.63,0,
10/10/2025,22204.43,-820.20,-3.56,0.00,22204.43,22204.43,22204.43,0,
10/13/2025,22694.61,490.18,2.21,0.00,22694.61,22694.61,22694.61,0,
10/14/2025,22521.70,-172.91,-0.76,0.00,22521.70,22521.70,22521.70,0,
10/15/2025,22670.08,148.38,0.66,0.00,22670.08,22670.08,22670.08,0,
10/16/2025,22562.54,-107.54,-0.47,0.00,22562.54,22562.54,22562.54,0,
10/17/2025,22679.97,117.43,0.52,0.00,22679.97,22679.97,22679.97,0,
10/20/2025,22990.54,310.57,1.37,0.00,22990.54,22990.54,22990.54,0,
10/21/2025,22953.67,-36.87,-0.16,0.00,22953.67,22953.67,22953.67,0,
10/22/2025,22740.40,-213.27,-0.93,0.00,22740.40,22740.40,22740.40,0,
10/23/2025,22941.80,201.40,0.89,0.00,22941.80,22941.80,22941.80,0,
10/24/2025,23204.87,263.07,1.15,0.00,23204.87,23204.87,23204.87,0,
10/27/2025,23637.46,432.59,1.86,0.00,23637.46,23637.46,23637.46,0,
10/28/2025,23827.49,190.03,0.80,0.00,23827.49,23827.49,23827.49,0,
10/29/2025,23958.47,130.98,0.55,0.00,23958.47,23958.47,23958.47,0,
10/30/2025,23581.14,-377.33,-1.57,0.00,23581.14,23581.14,23581.14,0,
10/31/2025,23724.96,143.82,0.61,0.00,23724.96,23724.96,23724.96,0,
11/3/2025,23834.72,109.76,0.46,0.00,23834.72,23834.72,23834.72,0,
11/4/2025,23348.64,-486.08,-2.04,0.00,23348.64,23348.64,23348.64,0,
11/5/2025,23499.80,151.16,0.65,0.00,23499.80,23499.80,23499.80,0,
11/6/2025,23053.99,-445.81,-1.90,0.00,23053.99,23053.99,23053.99,0,
11/7/2025,23004.54,-49.45,-0.21,0.00,23004.54,23004.54,23004.54,0,
11/10/2025,23527.17,522.63,2.27,0.00,23527.17,23527.17,23527.17,0,
11/11/2025,23468.30,-58.87,-0.25,0.00,23468.30,23468.30,23468.30,0,
11/12/2025,23406.46,-61.84,-0.26,0.00,23406.46,23406.46,23406.46,0,
11/13/2025,22870.36,-536.10,-2.29,0.00,22870.36,22870.36,22870.36,0,
11/14/2025,22900.59,30.23,0.13,0.00,22900.59,22900.59,22900.59,0,
11/17/2025,22708.07,-192.52,-0.84,0.00,22708.07,22708.07,22708.07,0,
11/18/2025,22432.85,-275.22,-1.21,0.00,22432.85,22432.85,22432.85,0,
11/19/2025,22564.23,131.38,0.59,0.00,22564.23,22564.23,22564.23,0,
11/20/2025,22078.05,-486.18,-2.15,0.00,22078.05,22078.05,22078.05,0,
11/21/2025,22273.08,195.03,0.88,0.00,22273.08,22273.08,22273.08,0,
11/24/2025,22872.01,598.93,2.69,0.00,22872.01,22872.01,22872.01,0,
11/25/2025,23025.59,153.58,0.67,0.00,23025.59,23025.59,23025.59,0,
11/26/2025,23214.69,189.10,0.82,0.00,23214.69,23214.69,23214.69,0,
11/28/2025,23365.69,151.00,0.65,0.00,23365.69,23365.69,23365.69,0,
12/1/2025,23275.92,-89.77,-0.38,0.00,23275.92,23275.92,23275.92,0,
12/2/2025,23413.67,137.75,0.59,0.00,23413.67,23413.67,23413.67,0,
12/3/2025,23454.09,40.42,0.17,0.00,23454.09,23454.09,23454.09,0,
12/4/2025,23505.14,51.05,0.22,0.00,23505.14,23505.14,23505.14,0,
12/5/2025,23578.13,72.99,0.31,0.00,23578.13,23578.13,23578.13,0,
12/8/2025,23545.90,-32.23,-0.14,0.00,23545.90,23545.90,23545.90,0,
12/9/2025,23576.49,30.59,0.13,0.00,23576.49,23576.49,23576.49,0,
12/10/2025,23654.15,77.66,0.33,0.00,23654.15,23654.15,23654.15,0,
12/11/2025,23593.86,-60.29,-0.25,0.00,23593.86,23593.86,23593.86,0,
12/12/2025,23195.17,-398.69,-1.69,0.00,23195.17,23195.17,23195.17,0,
12/15/2025,23057.41,-137.76,-0.59,0.00,23057.41,23057.41,23057.41,0,
12/16/2025,23111.46,54.05,0.23,0.00,23111.46,23111.46,23111.46,0,
12/17/2025,22693.32,-418.14,-1.81,0.00,22693.32,22693.32,22693.32,0,
12/18/2025,23006.36,313.04,1.38,0.00,23006.36,23006.36,23006.36,0,
12/19/2025,23307.62,301.26,1.31,0.00,23307.62,23307.62,23307.62,0,
12/22/2025,23428.83,121.21,0.52,0.00,23428.83,23428.83,23428.83,0,
12/23/2025,23561.84,133.01,0.57,0.00,23561.84,23561.84,23561.84,0,
12/24/2025,23613.31,51.47,0.22,0.00,23613.31,23613.31,23613.31,0,
12/26/2025,23593.10,-20.21,-0.09,0.00,23593.10,23593.10,23593.10,0,
12/29/2025,23474.35,-118.75,-0.50,0.00,23474.35,23474.35,23474.35,0,
12/30/2025,23419.08,-55.27,-0.24,0.00,23419.08,23419.08,23419.08,0,
12/31/2025,23241.99,-177.09,-0.76,0.00,23241.99,23241.99,23241.99,0,
1/2/2026,23235.63,-6.36,-0.03,0.00,23235.63,23235.63,23235.63,0,
1/5/2026,23395.82,160.19,0.69,0.00,23395.82,23395.82,23395.82,0,
1/6/2026,23547.17,151.35,0.65,0.00,23547.17,23547.17,23547.17,0,
1/7/2026,23584.28,37.11,0.16,0.00,23584.28,23584.28,23584.28,0,
1/8/2026,23480.02,-104.26,-0.44,0.00,23480.02,23480.02,23480.02,0,
1/9/2026,23671.35,191.33,0.81,0.00,23671.35,23671.35,23671.35,0,
1/12/2026,23733.90,62.55,0.26,0.00,23733.90,23733.90,23733.90,0,
1/13/2026,23709.87,-24.03,-0.10,0.00,23709.87,23709.87,23709.87,0,
1/14/2026,23471.75,-238.12,-1.00,0.00,23471.75,23471.75,23471.75,0,
1/15/2026,23530.02,58.27,0.25,0.00,23530.02,23530.02,23530.02,0,
1/16/2026,23515.39,-14.63,-0.06,0.00,23515.39,23515.39,23515.39,0,
1/20/2026,22954.32,-561.07,-2.39,0.00,22954.32,22954.32,22954.32,0,
1/21/2026,23224.82,270.50,1.18,0.00,23224.82,23224.82,23224.82,0,
1/22/2026,23436.02,211.20,0.91,0.00,23436.02,23436.02,23436.02,0,
1/23/2026,23501.24,65.22,0.28,0.00,23501.24,23501.24,23501.24,0,
1/26/2026,23601.36,100.12,0.43,0.00,23601.36,23601.36,23601.36,0,
1/27/2026,23817.10,215.74,0.91,0.00,23817.10,23817.10,23817.10,0,
1/28/2026,23857.45,40.35,0.17,0.00,23857.45,23857.45,23857.45,0,
1/29/2026,23685.12,-172.33,-0.72,0.00,23685.12,23685.12,23685.12,0,
1/30/2026,23461.82,-223.30,-0.94,0.00,23461.82,23461.82,23461.82,0,
2/2/2026,23592.11,130.29,0.56,0.00,23592.11,23592.11,23592.11,0,
2/3/2026,23255.19,-336.92,-1.43,0.00,23255.19,23255.19,23255.19,0,
2/4/2026,22904.58,-350.61,-1.51,0.00,22904.58,22904.58,22904.58,0,
2/5/2026,22540.59,-363.99,-1.59,0.00,22540.59,22540.59,22540.59,0,
2/6/2026,23031.21,490.62,2.18,0.00,23031.21,23031.21,23031.21,0,
2/9/2026,23238.67,207.46,0.90,0.00,23238.67,23238.67,23238.67,0,
2/10/2026,23102.47,-136.20,-0.59,0.00,23102.47,23102.47,23102.47,0,
2/11/2026,23066.47,-36.00,-0.16,0.00,23066.47,23066.47,23066.47,0,
2/12/2026,22597.15,-469.32,-2.03,0.00,22597.15,22597.15,22597.15,0,
2/13/2026,22546.67,-50.48,-0.22,0.00,22546.67,22546.67,22546.67,0,
2/17/2026,22578.38,31.71,0.14,0.00,22578.38,22578.38,22578.38,0,
2/18/2026,22753.63,175.25,0.78,0.00,22753.63,22753.63,22753.63,0,
2/19/2026,22682.73,-70.90,-0.31,0.00,22682.73,22682.73,22682.73,0,
2/20/2026,22886.07,203.34,0.90,0.00,22886.07,22886.07,22886.07,0,
2/23/2026,22627.27,-258.80,-1.13,0.00,22627.27,22627.27,22627.27,0,
2/24/2026,22863.68,236.41,1.04,0.00,22863.68,22863.68,22863.68,0,
2/25/2026,23152.08,288.40,1.26,0.00,23152.08,23152.08,23152.08,0,
2/26/2026,22878.38,-273.70,-1.18,0.00,22878.38,22878.38,22878.38,0,
2/27/2026,22668.21,-210.17,-0.92,0.00,22668.21,22668.21,22668.21,0,
3/2/2026,22748.86,80.65,0.36,0.00,22748.86,22748.86,22748.86,0,
3/3/2026,22516.69,-232.17,-1.02,0.00,22516.69,22516.69,22516.69,0,
3/4/2026,22807.48,290.79,1.29,0.00,22807.48,22807.48,22807.48,0,
3/5/2026,22748.99,-58.49,-0.26,0.00,22748.99,22748.99,22748.99,0,
3/6/2026,22387.68,-361.31,-1.59,0.00,22387.68,22387.68,22387.68,0,
3/9/2026,22695.95,308.27,1.38,0.00,22695.95,22695.95,22695.95,0,
3/10/2026,22697.10,1.15,0.01,0.00,22697.10,22697.10,22697.10,0,
3/11/2026,22716.13,19.03,0.08,0.00,22716.13,22716.13,22716.13,0,
3/12/2026,22311.98,-404.15,-1.78,0.00,22311.98,22311.98,22311.98,0,
3/13/2026,22105.36,-206.62,-0.93,0.00,22105.36,22105.36,22105.36,0,
3/16/2026,22374.18,268.82,1.22,0.00,22374.18,22374.18,22374.18,0,
3/17/2026,22479.53,105.35,0.47,0.00,22479.53,22479.53,22479.53,0,
3/18/2026,22152.42,-327.11,-1.46,0.00,22152.42,22152.42,22152.42,0,
3/19/2026,22090.69,-61.73,-0.28,0.00,22090.69,22090.69,22090.69,0,
3/20/2026,21647.61,-443.08,-2.01,0.00,21647.61,21647.61,21647.61,0,
3/23/2026,21946.76,299.15,1.38,0.00,21946.76,21946.76,21946.76,0,
3/24/2026,21761.89,-184.87,-0.84,0.00,21761.89,21761.89,21761.89,0,
3/25/2026,21929.82,167.93,0.77,0.00,21929.82,21929.82,21929.82,0,
3/26/2026,21408.08,-521.74,-2.38,0.00,21408.08,21408.08,21408.08,0,
