date,close,change,pct,open,high,low,volume,fetch_time
2024-05-08,2313.60,-1.60,-0.07,2313.60,2313.60,2313.60,4,
2024-05-09,2332.10,18.50,0.80,2310.70,2339.50,2310.70,5,
2024-05-10,2367.30,35.20,1.51,2367.30,2367.30,2367.30,126,
2024-05-13,2336.10,-31.20,-1.32,2358.30,2358.30,2336.10,14,
2024-05-14,2353.40,17.30,0.74,2336.00,2358.00,2336.00,6,
2024-05-15,2388.70,35.30,1.50,2361.60,2388.70,2356.00,29,
2024-05-16,2380.00,-8.70,-0.36,2389.50,2392.20,2380.00,7,
2024-05-17,2412.20,32.20,1.35,2380.70,2415.80,2380.70,213,
2024-05-20,2433.90,21.70,0.90,2415.80,2435.80,2409.70,40,
2024-05-21,2421.70,-12.20,-0.50,2429.50,2429.50,2421.00,6,
2024-05-22,2389.20,-32.50,-1.34,2417.50,2417.60,2375.80,180,
2024-05-23,2335.00,-54.20,-2.27,2371.20,2371.20,2335.00,365,
2024-05-24,2332.50,-2.50,-0.11,2342.60,2345.40,2332.50,25,
2024-05-28,2355.20,22.70,0.97,2336.90,2359.70,2336.90,26,
2024-05-29,2340.30,-14.90,-0.63,2340.30,2340.30,2340.30,119317,
2024-05-30,2342.90,2.60,0.11,2336.90,2349.50,2320.80,32587,
2024-05-31,2322.90,-20.00,-0.85,2344.10,2354.00,2319.00,941,
2024-06-03,2346.60,23.70,1.02,2322.60,2347.50,2312.00,781,
2024-06-04,2325.50,-21.10,-0.90,2347.50,2347.70,2313.90,890,
2024-06-05,2354.10,28.60,1.23,2326.40,2354.30,2326.20,295,
2024-06-06,2370.30,16.20,0.69,2355.00,2375.80,2355.00,179,
2024-06-07,2305.20,-65.10,-2.75,2379.90,2385.10,2285.40,269,
2024-06-10,2307.70,2.50,0.11,2290.60,2309.30,2290.50,69,
2024-06-11,2307.50,-0.20,-0.01,2300.00,2314.10,2300.00,871,
2024-06-12,2336.00,28.50,1.24,2314.90,2338.70,2310.30,132,
2024-06-13,2300.20,-35.80,-1.53,2309.40,2317.70,2296.20,298,
2024-06-14,2331.40,31.20,1.36,2307.00,2331.40,2305.80,948,
2024-06-17,2312.40,-19.00,-0.81,2320.20,2320.20,2309.60,110,
2024-06-18,2330.40,18.00,0.78,2311.80,2330.40,2311.80,43,
2024-06-20,2353.80,23.40,1.00,2328.90,2354.00,2328.30,183,
2024-06-21,2316.40,-37.40,-1.59,2331.20,2331.20,2316.40,76,
2024-06-24,2330.00,13.60,0.59,2323.30,2332.90,2322.70,99,
2024-06-25,2316.60,-13.40,-0.58,2324.40,2333.00,2316.60,105,
2024-06-26,2299.20,-17.40,-0.75,2307.90,2314.40,2298.00,986,
2024-06-27,2324.50,25.30,1.10,2296.80,2329.00,2295.00,1532,
2024-06-28,2327.70,3.20,0.14,2325.40,2338.30,2319.00,92,
2024-07-01,2327.60,-0.10,-0.00,2323.80,2329.70,2321.70,237,
2024-07-02,2323.00,-4.60,-0.20,2330.70,2334.60,2323.00,30,
2024-07-03,2359.80,36.80,1.58,2330.90,2361.60,2330.90,59,
2024-07-05,2388.50,28.70,1.22,2354.90,2388.50,2354.90,72,
2024-07-08,2355.20,-33.30,-1.39,2381.70,2383.80,2352.80,64,
2024-07-09,2360.10,4.90,0.21,2363.10,2363.70,2360.10,9,
2024-07-10,2372.20,12.10,0.51,2366.30,2377.00,2365.80,19,
2024-07-11,2415.00,42.80,1.80,2378.70,2416.70,2378.70,72,
2024-07-12,2414.00,-1.00,-0.04,2399.80,2414.00,2391.30,355,
2024-07-15,2422.90,8.90,0.37,2430.00,2436.00,2422.90,540,
2024-07-16,2462.40,39.50,1.63,2427.40,2462.40,2427.40,93,
2024-07-17,2454.80,-7.60,-0.31,2472.90,2473.10,2454.80,10,
2024-07-18,2451.80,-3.00,-0.12,2466.00,2466.00,2451.80,2,
2024-07-19,2395.50,-56.30,-2.30,2418.80,2419.20,2395.50,15,
2024-07-22,2392.00,-3.50,-0.15,2402.10,2402.10,2392.00,18,
2024-07-23,2404.60,12.60,0.53,2395.80,2404.60,2388.70,41,
